state_id,policy_id,n_evac_vehicles,n_evac_arrived,arrival_rate,tt_mean,tt_median,tt_p90,tt_max,tt_min,depart_mean,arrive_mean,arrive_p90,links_mean,links_p90,maxseq_mean,maxseq_p90,src_file
5,10,7000.0,1411.0,0.20157142857142857,1990.7462792345855,1997.0,2948.0,3553.0,41.0,47067.48192771084,49058.22820694543,50138.0,21.255846917080085,34.0,20.271438695960313,33.0,evac-only_sorted_2026shelterseek_5_10_trajectory.csv
5,11,7000.0,1478.0,0.21114285714285713,1955.882949932341,2033.0,2861.6,3871.0,75.0,47128.24695534506,49084.129905277405,50165.3,19.84573748308525,32.299999999999955,18.99188092016238,32.0,evac-only_sorted_2026shelterseek_5_11_trajectory.csv
5,12,7000.0,699.0,0.09985714285714285,1927.274678111588,1796.0,3106.4,4873.0,117.0,47058.70386266094,48985.978540772536,50183.2,22.01716738197425,40.0,21.450643776824034,40.0,evac-only_sorted_2026shelterseek_5_12_trajectory.csv
5,13,7000.0,815.0,0.11642857142857142,1788.4343558282208,1789.0,2870.8,3550.0,150.0,47101.106748466256,48889.541104294476,50204.0,23.409815950920244,44.0,22.742331288343557,43.0,evac-only_sorted_2026shelterseek_5_13_trajectory.csv
5,14,7000.0,1185.0,0.1692857142857143,1834.0194092827005,1790.0,2966.400000000002,5718.0,173.0,47038.582278481015,48872.601687763716,50019.6,22.610126582278482,33.0,21.620253164556964,32.0,evac-only_sorted_2026shelterseek_5_14_trajectory.csv
5,15,7000.0,989.0,0.1412857142857143,1773.748230535895,1713.0,2583.4,5784.0,96.0,47046.82002022245,48820.56825075834,50105.2,21.987866531850354,40.0,21.28412537917088,40.0,evac-only_sorted_2026shelterseek_5_15_trajectory.csv
5,16,7000.0,1649.0,0.23557142857142857,1896.0873256519103,1863.0,3000.8,3662.0,35.0,47064.187386294725,48960.27471194664,50140.0,20.357186173438446,33.0,19.48392965433596,32.0,evac-only_sorted_2026shelterseek_5_16_trajectory.csv
5,17,7000.0,880.0,0.12571428571428572,1918.9340909090909,1877.5,2810.0,3486.0,59.0,47067.594318181815,48986.52840909091,50130.9,21.755681818181817,30.0,20.797727272727272,29.0,evac-only_sorted_2026shelterseek_5_17_trajectory.csv
5,18,7000.0,1351.0,0.193,1768.4922279792745,1498.0,2952.0,3808.0,112.0,47083.693560325686,48852.18578830496,50076.0,15.656550703182827,22.0,14.748334566987417,21.0,evac-only_sorted_2026shelterseek_5_18_trajectory.csv
5,19,7000.0,989.0,0.1412857142857143,1735.54701718908,1568.0,2920.6000000000004,4545.0,22.0,47061.40748230536,48796.95449949444,50121.6,22.313447927199192,29.0,21.355915065722954,28.0,evac-only_sorted_2026shelterseek_5_19_trajectory.csv
5,20,7000.0,549.0,0.07842857142857143,1738.3551912568305,1802.0,2572.0,4925.0,61.0,47047.78506375228,48786.14025500911,49868.4,19.036429872495447,47.0,18.08743169398907,46.0,evac-only_sorted_2026shelterseek_5_20_trajectory.csv
5,21,7000.0,1240.0,0.17714285714285713,1746.2951612903225,1483.0,2937.3,3576.0,65.0,47087.675,48833.97016129032,50136.4,20.763709677419357,27.0,19.876612903225805,28.0,evac-only_sorted_2026shelterseek_5_21_trajectory.csv
